hour_of_year,month,hour,lrmer_co2e_c,synthetic
0,1,0,316.1346014972296,False
1,1,1,315.7844206456894,False
2,1,2,314.4231727330503,False
3,1,3,316.28324315449163,False
4,1,4,317.3575603691424,False
5,1,5,315.7404423746368,False
6,1,6,310.94451838650144,False
7,1,7,227.49207780773082,False
8,1,8,180.23719697095333,False
9,1,9,181.11046627629355,False
10,1,10,187.01889146747556,False
11,1,11,187.11180398711753,False
12,1,12,193.6221677506387,False
13,1,13,173.7295454952311,False
14,1,14,173.55188460897455,False
15,1,15,173.800436462698,False
16,1,16,223.33939000597715,False
17,1,17,310.29574977847113,False
18,1,18,319.0482866142592,False
19,1,19,318.40640155830874,False
20,1,20,312.5766607537096,False
21,1,21,304.7167902848796,False
22,1,22,303.89478620000364,False
23,1,23,313.74427787087683,False
24,1,0,316.1346014972296,False
25,1,1,315.7844206456894,False
26,1,2,314.4231727330503,False
27,1,3,316.28324315449163,False
28,1,4,317.3575603691424,False
29,1,5,315.7404423746368,False
30,1,6,310.94451838650144,False
31,1,7,227.49207780773082,False
32,1,8,180.23719697095333,False
33,1,9,181.11046627629355,False
34,1,10,187.01889146747556,False
35,1,11,187.11180398711753,False
36,1,12,193.6221677506387,False
37,1,13,173.7295454952311,False
38,1,14,173.55188460897455,False
39,1,15,173.800436462698,False
40,1,16,223.33939000597715,False
41,1,17,310.29574977847113,False
42,1,18,319.0482866142592,False
43,1,19,318.40640155830874,False
44,1,20,312.5766607537096,False
45,1,21,304.7167902848796,False
46,1,22,303.89478620000364,False
47,1,23,313.74427787087683,False
48,1,0,316.1346014972296,False
49,1,1,315.7844206456894,False
50,1,2,314.4231727330503,False
51,1,3,316.28324315449163,False
52,1,4,317.3575603691424,False
53,1,5,315.7404423746368,False
54,1,6,310.94451838650144,False
55,1,7,227.49207780773082,False
56,1,8,180.23719697095333,False
57,1,9,181.11046627629355,False
58,1,10,187.01889146747556,False
59,1,11,187.11180398711753,False
60,1,12,193.6221677506387,False
61,1,13,173.7295454952311,False
62,1,14,173.55188460897455,False
63,1,15,173.800436462698,False
64,1,16,223.33939000597715,False
65,1,17,310.29574977847113,False
66,1,18,319.0482866142592,False
67,1,19,318.40640155830874,False
68,1,20,312.5766607537096,False
69,1,21,304.7167902848796,False
70,1,22,303.89478620000364,False
71,1,23,313.74427787087683,False
72,1,0,316.1346014972296,False
73,1,1,315.7844206456894,False
74,1,2,314.4231727330503,False
75,1,3,316.28324315449163,False
76,1,4,317.3575603691424,False
77,1,5,315.7404423746368,False
78,1,6,310.94451838650144,False
79,1,7,227.49207780773082,False
80,1,8,180.23719697095333,False
81,1,9,181.11046627629355,False
82,1,10,187.01889146747556,False
83,1,11,187.11180398711753,False
84,1,12,193.6221677506387,False
85,1,13,173.7295454952311,False
86,1,14,173.55188460897455,False
87,1,15,173.800436462698,False
88,1,16,223.33939000597715,False
89,1,17,310.29574977847113,False
90,1,18,319.0482866142592,False
91,1,19,318.40640155830874,False
92,1,20,312.5766607537096,False
93,1,21,304.7167902848796,False
94,1,22,303.89478620000364,False
95,1,23,313.74427787087683,False
96,1,0,316.1346014972296,False
97,1,1,315.7844206456894,False
98,1,2,314.4231727330503,False
99,1,3,316.28324315449163,False
100,1,4,317.3575603691424,False
101,1,5,315.7404423746368,False
102,1,6,310.94451838650144,False
103,1,7,227.49207780773082,False
104,1,8,180.23719697095333,False
105,1,9,181.11046627629355,False
106,1,10,187.01889146747556,False
107,1,11,187.11180398711753,False
108,1,12,193.6221677506387,False
109,1,13,173.7295454952311,False
110,1,14,173.55188460897455,False
111,1,15,173.800436462698,False
112,1,16,223.33939000597715,False
113,1,17,310.29574977847113,False
114,1,18,319.0482866142592,False
115,1,19,318.40640155830874,False
116,1,20,312.5766607537096,False
117,1,21,304.7167902848796,False
118,1,22,303.89478620000364,False
119,1,23,313.74427787087683,False
120,1,0,316.1346014972296,False
121,1,1,315.7844206456894,False
122,1,2,314.4231727330503,False
123,1,3,316.28324315449163,False
124,1,4,317.3575603691424,False
125,1,5,315.7404423746368,False
126,1,6,310.94451838650144,False
127,1,7,227.49207780773082,False
128,1,8,180.23719697095333,False
129,1,9,181.11046627629355,False
130,1,10,187.01889146747556,False
131,1,11,187.11180398711753,False
132,1,12,193.6221677506387,False
133,1,13,173.7295454952311,False
134,1,14,173.55188460897455,False
135,1,15,173.800436462698,False
136,1,16,223.33939000597715,False
137,1,17,310.29574977847113,False
138,1,18,319.0482866142592,False
139,1,19,318.40640155830874,False
140,1,20,312.5766607537096,False
141,1,21,304.7167902848796,False
142,1,22,303.89478620000364,False
143,1,23,313.74427787087683,False
144,1,0,316.1346014972296,False
145,1,1,315.7844206456894,False
146,1,2,314.4231727330503,False
147,1,3,316.28324315449163,False
148,1,4,317.3575603691424,False
149,1,5,315.7404423746368,False
150,1,6,310.94451838650144,False
151,1,7,227.49207780773082,False
152,1,8,180.23719697095333,False
153,1,9,181.11046627629355,False
154,1,10,187.01889146747556,False
155,1,11,187.11180398711753,False
156,1,12,193.6221677506387,False
157,1,13,173.7295454952311,False
158,1,14,173.55188460897455,False
159,1,15,173.800436462698,False
160,1,16,223.33939000597715,False
161,1,17,310.29574977847113,False
162,1,18,319.0482866142592,False
163,1,19,318.40640155830874,False
164,1,20,312.5766607537096,False
165,1,21,304.7167902848796,False
166,1,22,303.89478620000364,False
167,1,23,313.74427787087683,False
168,1,0,316.1346014972296,False
169,1,1,315.7844206456894,False
170,1,2,314.4231727330503,False
171,1,3,316.28324315449163,False
172,1,4,317.3575603691424,False
173,1,5,315.7404423746368,False
174,1,6,310.94451838650144,False
175,1,7,227.49207780773082,False
176,1,8,180.23719697095333,False
177,1,9,181.11046627629355,False
178,1,10,187.01889146747556,False
179,1,11,187.11180398711753,False
180,1,12,193.6221677506387,False
181,1,13,173.7295454952311,False
182,1,14,173.55188460897455,False
183,1,15,173.800436462698,False
184,1,16,223.33939000597715,False
185,1,17,310.29574977847113,False
186,1,18,319.0482866142592,False
187,1,19,318.40640155830874,False
188,1,20,312.5766607537096,False
189,1,21,304.7167902848796,False
